TransactionID,AccountID,LoanID,Amount,TransactionDate,TransactionType,Status,Branch,Description
TXN0001,ACC0125,LOAN0167,1824.61,2024-10-14,Disbursement,Completed,Northside,Home improvement loan
TXN0002,ACC0171,LOAN0151,1166.23,2024-12-18,Payment,Completed,Uptown,Online payment
TXN0003,ACC0001,LOAN0180,8522.49,2024-10-17,Disbursement,Completed,Northside,Personal loan
TXN0004,ACC0057,LOAN0164,2813.23,2024-03-13,Payment,Completed,Midtown,Monthly loan payment
TXN0005,ACC0089,LOAN0082,1926.75,2024-02-15,Payment,Completed,Northside,Auto-pay loan payment
TXN0006,ACC0003,LOAN0068,786.15,2024-02-04,Payment,Completed,Midtown,Online payment
TXN0007,ACC0001,LOAN0013,4438.38,2024-08-02,Disbursement,Failed,Southside,Business loan
TXN0008,ACC0097,LOAN0090,1104.14,2024-09-02,Disbursement,Completed,Eastside,Home improvement loan
TXN0009,ACC0116,LOAN0019,919.98,2024-06-12,Payment,Completed,Midtown,Monthly loan payment
TXN0010,ACC0088,LOAN0044,1692.95,2024-02-08,Disbursement,Completed,Midtown,Auto loan
TXN0011,ACC0153,LOAN0158,7074.6,2024-08-08,Disbursement,Failed,Uptown,Personal loan
TXN0012,ACC0112,LOAN0041,348.71,2024-04-15,Payment,Failed,Southside,Online payment
TXN0013,ACC0142,LOAN0185,6639.92,2024-06-01,Disbursement,Completed,Downtown,Business loan
TXN0014,ACC0147,LOAN0141,1620.54,2024-07-03,Disbursement,Completed,Midtown,Auto loan
TXN0015,ACC0170,LOAN0161,2076.78,2024-01-14,Disbursement,Completed,Westside,New loan disbursed
TXN0016,ACC0122,LOAN0030,7870.28,2024-08-29,Disbursement,Completed,Westside,New loan disbursed
TXN0017,ACC0165,LOAN0140,1930.32,2024-07-14,Disbursement,Completed,Airport,New loan disbursed
TXN0018,ACC0068,LOAN0113,2707.67,2024-05-17,Disbursement,Completed,Uptown,New loan disbursed
TXN0019,ACC0022,LOAN0172,8100.98,2024-07-30,Disbursement,Failed,Eastside,Personal loan
TXN0020,ACC0016,LOAN0100,9659.71,2024-12-17,Disbursement,Failed,Airport,Personal loan
TXN0021,ACC0061,LOAN0122,881.65,2024-01-18,Disbursement,Completed,Uptown,New loan disbursed
TXN0022,ACC0194,LOAN0115,2849.73,2024-03-26,Payment,Failed,Eastside,Monthly loan payment
TXN0023,ACC0011,LOAN0109,2965.43,2024-08-10,Payment,Completed,Uptown,Online payment
TXN0024,ACC0067,LOAN0082,306.73,2024-10-11,Payment,Completed,Northside,Auto-pay loan payment
TXN0025,ACC0134,LOAN0118,2370.32,2024-11-15,Payment,Completed,Southside,Monthly loan payment
TXN0026,ACC0107,LOAN0039,1721.45,2024-10-25,Payment,Completed,Midtown,Monthly loan payment
TXN0027,ACC0145,LOAN0200,2367.95,2024-10-01,Payment,Failed,Southside,Auto-pay loan payment
TXN0028,ACC0099,LOAN0168,5763.03,2024-08-30,Disbursement,Completed,Westside,Business loan
TXN0029,ACC0037,LOAN0159,483.95,2024-06-18,Disbursement,Completed,Downtown,Business loan
TXN0030,ACC0069,LOAN0096,1046.7,2024-06-04,Payment,Completed,Airport,Online payment
TXN0031,ACC0176,LOAN0026,446.44,2024-08-14,Payment,Completed,Northside,Auto-pay loan payment
TXN0032,ACC0187,LOAN0107,604.41,2024-04-18,Payment,Failed,Southside,Online payment
TXN0033,ACC0125,LOAN0195,8228.07,2024-09-20,Disbursement,Completed,Midtown,Auto loan
TXN0034,ACC0182,LOAN0130,1442.93,2024-09-25,Disbursement,Failed,Downtown,Home improvement loan
TXN0035,ACC0050,LOAN0052,786.0,2024-08-21,Payment,Completed,Northside,Online payment
TXN0036,ACC0051,LOAN0071,8252.71,2024-09-15,Disbursement,Completed,Midtown,New loan disbursed
TXN0037,ACC0062,LOAN0096,5981.03,2024-03-31,Disbursement,Failed,Airport,Personal loan
TXN0038,ACC0142,LOAN0090,1718.78,2024-05-12,Disbursement,Completed,Midtown,Auto loan
TXN0039,ACC0008,LOAN0099,530.58,2024-10-19,Payment,Completed,Eastside,Monthly loan payment
TXN0040,ACC0166,LOAN0058,843.8,2024-07-28,Payment,Completed,Downtown,Auto-pay loan payment
