TransactionID,AccountID,Amount,TransactionDate,TransactionTime,MerchantCategory,Location,PreviousLocation,TimeSinceLastTxnMins,NumTxnLast24h,AvgTxnAmount30d,IsFraud
FRD0001,ACC0003,462.31,2024-07-29,15:37:01,Gas Station,Unknown,Overseas,1060,1,354.71,0
FRD0002,ACC0027,5315.01,2024-06-13,15:32:51,ATM,Overseas,Overseas,4,14,169.21,1
FRD0003,ACC0010,503.41,2024-07-08,06:18:16,Restaurant,Unknown,Downtown,248,1,308.18,0
FRD0004,ACC0035,524.71,2024-05-09,18:51:33,Grocery,Overseas,Airport,678,3,233.47,0
FRD0005,ACC0070,613.12,2024-06-10,06:26:25,ATM,Airport,Westside,429,1,325.09,0
FRD0006,ACC0067,584.03,2024-05-24,18:31:13,Electronics,Unknown,Airport,182,2,201.21,0
FRD0007,ACC0019,689.55,2024-05-31,04:47:43,Gas Station,Unknown,Westside,191,2,427.6,0
FRD0008,ACC0035,161.61,2024-06-06,20:10:16,Restaurant,Midtown,Eastside,562,3,248.16,0
FRD0009,ACC0072,33.02,2024-06-25,13:41:57,Restaurant,Westside,Downtown,628,2,332.82,0
FRD0010,ACC0006,721.45,2024-07-02,00:03:55,Grocery,Westside,Midtown,893,3,345.69,0
FRD0011,ACC0012,6980.55,2024-06-20,23:53:08,Wire Transfer,Overseas,Eastside,3,23,269.99,1
FRD0012,ACC0031,597.73,2024-07-16,03:49:51,ATM,Unknown,Overseas,926,2,97.81,0
FRD0013,ACC0023,431.44,2024-05-28,08:28:26,Shopping,Downtown,Westside,291,3,286.5,0
FRD0014,ACC0061,26.65,2024-07-27,07:17:56,Gas Station,Overseas,Uptown,1300,1,425.49,0
FRD0015,ACC0085,514.77,2024-05-07,22:58:50,Gas Station,Unknown,Eastside,803,1,281.41,0
FRD0016,ACC0031,81.3,2024-06-26,12:00:58,Gas Station,Westside,Unknown,542,3,128.88,0
FRD0017,ACC0021,660.33,2024-06-26,20:20:56,Grocery,Westside,Unknown,1066,4,376.36,0
FRD0018,ACC0043,485.67,2024-06-24,03:52:10,Shopping,Overseas,Westside,1181,3,243.03,0
FRD0019,ACC0004,326.52,2024-05-07,20:41:11,Grocery,Uptown,Airport,1346,3,177.45,0
FRD0020,ACC0011,366.68,2024-05-15,05:15:33,Gas Station,Unknown,Uptown,333,3,111.54,0
FRD0021,ACC0076,756.36,2024-06-11,09:12:05,Shopping,Unknown,Unknown,1228,2,39.75,0
FRD0022,ACC0003,216.81,2024-07-11,20:39:40,Restaurant,Airport,Eastside,405,1,218.49,0
