AccountID,CreditScore,AnnualIncome,LoanAmount,LoanPurpose,EmploymentYears,EmploymentType,DebtToIncomeRatio,NumOpenAccounts,NumDelinquencies,MonthsSinceLastDelinquency,HomeOwnership,LoanTermMonths,IsDefault
ACC0001,713,107573.11,60344.47,Business,15,Part-time,0.582,5,1,67,Own,60,0
ACC0002,731,186111.89,59252.31,Education,24,Part-time,0.157,11,0,999,Mortgage,12,0
ACC0003,841,175796.83,9692.42,Education,25,Full-time,0.239,1,1,26,Mortgage,60,0
ACC0004,831,227055.72,60945.4,Home Improvement,22,Part-time,0.201,15,0,999,Other,60,0
ACC0005,481,237099.44,66369.67,Home Improvement,7,Full-time,0.17,11,1,10,Other,84,1
ACC0006,617,161999.9,38725.09,Auto,33,Contract,0.191,13,0,999,Rent,48,0
ACC0007,713,209780.78,13508.74,Other,3,Part-time,0.567,12,0,999,Other,12,1
ACC0008,447,88073.98,99121.04,Medical,9,Part-time,0.666,6,2,102,Rent,36,1
ACC0009,670,62768.95,8166.55,Personal,0,Retired,0.633,6,0,999,Other,48,1
ACC0010,708,108766.2,81555.17,Debt Consolidation,11,Full-time,0.696,12,1,98,Other,24,0
ACC0011,531,170273.64,31754.99,Education,13,Part-time,0.318,8,0,999,Other,48,0
ACC0012,562,36025.63,30009.95,Education,30,Retired,0.139,15,0,999,Other,36,0
ACC0013,463,84926.9,68146.0,Other,12,Contract,0.286,4,1,0,Mortgage,84,1
ACC0014,497,225005.66,67113.87,Personal,26,Part-time,0.336,14,1,84,Other,12,1
ACC0015,844,66574.52,52687.91,Auto,32,Contract,0.703,5,1,59,Mortgage,24,0
ACC0016,407,205466.64,8481.58,Home Improvement,3,Contract,0.26,9,0,999,Rent,12,0
ACC0017,704,111642.7,18053.04,Other,21,Part-time,0.665,15,2,111,Other,48,0
ACC0018,483,102763.01,21553.54,Other,24,Part-time,0.629,15,2,73,Other,84,1
ACC0019,376,142282.62,99721.27,Home Improvement,7,Self-employed,0.607,2,1,83,Own,60,0
ACC0020,581,165706.73,58711.49,Medical,16,Part-time,0.145,15,0,999,Other,12,1
ACC0021,823,72889.85,75796.38,Auto,28,Full-time,0.537,7,0,999,Rent,12,0
ACC0022,579,83362.91,37151.7,Business,35,Part-time,0.541,11,3,10,Own,84,1
ACC0023,440,54545.45,9564.34,Medical,10,Self-employed,0.66,12,0,999,Rent,36,0
ACC0024,650,206168.46,44177.52,Personal,11,Full-time,0.153,11,3,93,Own,24,0
ACC0025,399,200035.71,98998.16,Other,5,Part-time,0.663,14,0,999,Other,36,1
ACC0026,346,154399.12,3017.64,Auto,8,Full-time,0.667,13,3,37,Mortgage,12,1
ACC0027,374,29267.78,17231.5,Education,21,Self-employed,0.614,1,1,104,Mortgage,60,1
ACC0028,454,179535.22,2835.6,Personal,25,Contract,0.409,15,0,999,Rent,60,0
ACC0029,355,68797.47,65132.8,Auto,6,Contract,0.053,1,0,999,Rent,24,0
ACC0030,362,247516.42,26205.29,Medical,9,Full-time,0.703,1,3,50,Other,12,1
ACC0031,538,98503.19,14076.74,Debt Consolidation,23,Retired,0.162,12,2,26,Own,48,1
ACC0032,477,50961.18,74077.06,Business,11,Self-employed,0.167,9,3,117,Own,24,1
ACC0033,532,178032.44,42678.72,Debt Consolidation,15,Self-employed,0.277,10,1,63,Rent,12,0
ACC0034,330,236960.16,44239.02,Education,12,Full-time,0.514,3,0,999,Mortgage,12,1
ACC0035,602,65135.2,37089.45,Auto,22,Contract,0.15,5,3,33,Rent,48,1
ACC0036,327,101638.34,14972.5,Debt Consolidation,24,Full-time,0.301,6,1,31,Rent,12,1
ACC0037,480,68731.9,35012.47,Personal,4,Full-time,0.354,11,1,10,Mortgage,48,0
ACC0038,684,196565.09,90526.5,Personal,20,Self-employed,0.616,5,3,31,Own,12,1
ACC0039,633,162811.34,27827.14,Personal,15,Part-time,0.36,8,3,2,Mortgage,12,0
ACC0040,424,189672.73,28947.55,Other,27,Self-employed,0.407,4,3,118,Own,36,1
ACC0041,513,35667.9,92602.94,Other,31,Self-employed,0.747,2,0,999,Own,60,1
ACC0042,432,218363.74,20044.89,Home Improvement,1,Full-time,0.61,4,0,999,Own,12,0
ACC0043,593,62126.15,14348.77,Personal,11,Contract,0.123,14,0,999,Other,48,0
ACC0044,379,81865.37,53112.3,Personal,10,Self-employed,0.559,1,0,999,Mortgage,48,1
ACC0045,597,157478.8,22533.12,Personal,28,Self-employed,0.4,11,0,999,Other,36,1
ACC0046,637,137390.62,80395.47,Business,22,Retired,0.411,4,3,55,Rent,60,1
ACC0047,709,153565.63,9152.54,Medical,5,Contract,0.371,2,0,999,Rent,12,0
ACC0048,605,64083.4,15513.32,Personal,19,Part-time,0.628,11,0,999,Own,60,1
ACC0049,325,242113.55,22583.56,Medical,21,Retired,0.08,11,0,999,Other,60,0
ACC0050,523,100064.66,5258.65,Education,35,Part-time,0.646,13,3,77,Other,84,1
ACC0051,467,158859.36,56180.92,Personal,1,Full-time,0.474,6,0,999,Rent,48,1
ACC0052,846,93499.74,67687.6,Personal,23,Part-time,0.437,12,0,999,Mortgage,12,0
ACC0053,651,117436.22,63935.49,Home Improvement,11,Full-time,0.382,7,3,69,Other,36,0
ACC0054,686,79561.8,91930.07,Education,8,Full-time,0.233,2,0,999,Mortgage,48,0
ACC0055,542,156529.12,60837.17,Personal,17,Contract,0.677,3,0,999,Mortgage,84,0
ACC0056,327,146065.71,53969.32,Auto,15,Contract,0.417,3,0,999,Mortgage,48,0
ACC0057,394,212655.07,35216.56,Other,14,Contract,0.506,8,0,999,Rent,60,0
ACC0058,429,124358.98,79407.1,Education,35,Part-time,0.726,15,1,99,Own,12,1
ACC0059,521,186592.18,93283.63,Other,12,Retired,0.583,8,0,999,Rent,84,1
ACC0060,525,55802.52,64391.48,Auto,8,Retired,0.37,14,0,999,Own,36,1
ACC0061,333,177900.46,57388.27,Education,31,Part-time,0.249,6,0,999,Own,36,0
ACC0062,681,143342.3,20888.3,Medical,16,Part-time,0.409,8,0,999,Other,84,0
ACC0063,566,240346.0,31028.83,Home Improvement,35,Part-time,0.589,1,0,999,Rent,24,0
ACC0064,318,56666.92,86296.79,Personal,16,Self-employed,0.325,7,0,999,Mortgage,36,0
ACC0065,306,55825.07,46902.24,Personal,30,Self-employed,0.562,3,1,72,Rent,84,1
ACC0066,815,111756.61,67142.22,Auto,29,Part-time,0.4,13,1,42,Other,60,0
ACC0067,520,181929.03,9859.86,Business,24,Part-time,0.73,12,1,29,Mortgage,12,1
ACC0068,357,39816.12,47601.58,Business,16,Contract,0.287,1,0,999,Other,60,0
ACC0069,744,93382.8,73935.11,Auto,9,Contract,0.448,12,0,999,Other,48,0
ACC0070,765,177924.87,49231.8,Personal,34,Contract,0.48,13,0,999,Other,12,0
ACC0071,765,64334.76,35199.13,Home Improvement,24,Contract,0.672,6,0,999,Rent,24,0
ACC0072,424,234566.4,55232.27,Home Improvement,7,Part-time,0.462,4,0,999,Rent,36,1
ACC0073,361,240380.68,76932.8,Home Improvement,12,Part-time,0.708,4,0,999,Own,24,1
ACC0074,787,101063.6,37308.19,Education,15,Self-employed,0.062,8,0,999,Rent,60,0
