AccountID,CustomerID,AccountType,BranchID,OpenDate,Status,Balance
ACC0001,CUST0001,Checking,BR003,2020-07-25,Active,31036.3
ACC0002,CUST0002,Investment,BR001,2018-04-15,Active,102519.3
ACC0003,CUST0003,CD,BR008,2018-11-21,Active,110787.53
ACC0004,CUST0004,Checking,BR004,2015-09-15,Active,120397.37
ACC0005,CUST0005,Money Market,BR009,2022-03-25,Active,87016.34
ACC0006,CUST0006,Savings,BR006,2020-06-14,Active,104681.11
ACC0007,CUST0007,Money Market,BR008,2020-02-19,Active,20227.16
ACC0008,CUST0008,Money Market,BR003,2017-11-30,Active,56099.4
ACC0009,CUST0009,Checking,BR001,2016-08-30,Active,68661.02
ACC0010,CUST0010,Checking,BR003,2022-12-25,Active,27750.94
ACC0011,CUST0011,Checking,BR003,2016-10-22,Active,6652.14
ACC0012,CUST0012,Checking,BR003,2019-12-11,Active,28082.24
ACC0013,CUST0013,Savings,BR001,2022-06-19,Active,51905.13
ACC0014,CUST0014,Savings,BR009,2016-10-27,Active,18662.76
ACC0015,CUST0015,Checking,BR008,2016-08-18,Closed,139207.79
ACC0016,CUST0016,Checking,BR009,2020-09-09,Active,105964.98
ACC0017,CUST0017,Savings,BR005,2023-06-17,Closed,86272.27
ACC0018,CUST0018,Checking,BR010,2023-03-04,Closed,66594.78
ACC0019,CUST0019,Savings,BR008,2015-06-14,Active,82868.52
ACC0020,CUST0020,Checking,BR007,2021-12-04,Inactive,67172.92
ACC0021,CUST0021,Checking,BR001,2021-10-26,Active,87723.0
ACC0022,CUST0022,Checking,BR005,2017-03-12,Active,80992.64
ACC0023,CUST0023,Savings,BR002,2020-09-27,Active,73824.57
ACC0024,CUST0024,Savings,BR009,2015-08-18,Closed,54479.2
ACC0025,CUST0025,Checking,BR007,2019-02-23,Active,2322.52
ACC0026,CUST0026,Checking,BR005,2019-12-31,Inactive,13596.0
ACC0027,CUST0027,Money Market,BR008,2023-04-26,Closed,120650.98
ACC0028,CUST0028,Checking,BR007,2023-03-04,Inactive,21365.37
ACC0029,CUST0029,Savings,BR002,2016-08-11,Active,71454.66
ACC0030,CUST0030,CD,BR006,2015-09-28,Closed,88806.49
ACC0031,CUST0031,Savings,BR001,2019-08-05,Active,41362.66
ACC0032,CUST0032,Checking,BR008,2022-12-19,Active,137273.38
ACC0033,CUST0033,Checking,BR007,2018-03-31,Active,6813.82
ACC0034,CUST0034,Money Market,BR010,2018-05-29,Active,111108.48
ACC0035,CUST0035,Checking,BR001,2016-09-22,Active,143425.98
ACC0036,CUST0036,Money Market,BR008,2016-05-23,Active,133956.64
ACC0037,CUST0037,Savings,BR008,2022-09-18,Active,4752.17
ACC0038,CUST0038,Money Market,BR008,2015-10-01,Active,54583.05
ACC0039,CUST0039,Savings,BR007,2017-11-22,Active,71668.09
ACC0040,CUST0040,Savings,BR002,2019-03-09,Active,86501.92
ACC0041,CUST0041,Money Market,BR003,2021-07-10,Active,48292.33
ACC0042,CUST0042,CD,BR003,2019-01-03,Active,41264.22
ACC0043,CUST0043,Savings,BR006,2015-07-19,Active,79677.04
ACC0044,CUST0044,CD,BR009,2017-03-04,Inactive,27895.5
ACC0045,CUST0045,Checking,BR003,2021-02-05,Active,47773.46
ACC0046,CUST0046,Money Market,BR005,2018-01-16,Active,103407.82
ACC0047,CUST0047,Checking,BR010,2018-12-11,Inactive,2428.2
ACC0048,CUST0048,Savings,BR006,2020-06-09,Active,138175.65
ACC0049,CUST0049,Checking,BR004,2016-09-25,Active,124820.25
ACC0050,CUST0050,Money Market,BR009,2021-11-17,Active,142898.03
ACC0051,CUST0051,Money Market,BR009,2022-11-16,Inactive,17538.03
ACC0052,CUST0052,Savings,BR002,2016-04-22,Inactive,138549.76
ACC0053,CUST0053,Savings,BR005,2022-10-01,Active,122647.29
ACC0054,CUST0054,CD,BR010,2020-11-12,Inactive,51635.75
ACC0055,CUST0055,Money Market,BR001,2023-05-08,Inactive,33742.5
ACC0056,CUST0056,CD,BR003,2022-09-19,Active,19238.96
ACC0057,CUST0057,Checking,BR002,2019-10-07,Active,117712.44
ACC0058,CUST0058,Checking,BR008,2023-06-30,Active,29854.47
ACC0059,CUST0059,Checking,BR009,2021-08-26,Active,18278.87
ACC0060,CUST0060,Checking,BR002,2018-05-20,Active,113305.27
ACC0061,CUST0061,Money Market,BR010,2017-04-21,Active,30403.65
ACC0062,CUST0062,Savings,BR001,2016-01-07,Active,112056.6
ACC0063,CUST0063,Checking,BR010,2018-11-25,Active,128343.14
ACC0064,CUST0064,Money Market,BR010,2017-09-17,Active,10716.39
ACC0065,CUST0065,Money Market,BR001,2020-12-06,Active,29136.35
ACC0066,CUST0066,Checking,BR009,2015-01-18,Closed,15253.51
ACC0067,CUST0067,Checking,BR009,2022-12-08,Active,104870.87
ACC0068,CUST0068,Checking,BR002,2017-01-10,Inactive,147204.52
ACC0069,CUST0069,Savings,BR009,2017-07-21,Active,114330.71
ACC0070,CUST0070,Checking,BR008,2016-03-27,Active,74624.5
ACC0071,CUST0071,Savings,BR005,2021-04-01,Inactive,12796.07
ACC0072,CUST0072,Savings,BR007,2018-03-07,Active,110558.08
ACC0073,CUST0073,Savings,BR008,2017-07-14,Active,43943.1
ACC0074,CUST0074,CD,BR004,2015-10-13,Inactive,120464.24
ACC0075,CUST0075,CD,BR006,2017-01-04,Active,101286.76
ACC0076,CUST0076,Savings,BR007,2019-11-30,Active,101639.54
ACC0077,CUST0077,Checking,BR007,2019-06-29,Active,146646.84
ACC0078,CUST0078,Money Market,BR003,2015-09-23,Active,30263.41
ACC0079,CUST0079,Checking,BR007,2016-05-17,Active,63993.28
ACC0080,CUST0080,Savings,BR010,2021-08-28,Active,118529.16
ACC0081,CUST0081,Savings,BR007,2018-12-29,Active,90673.23
ACC0082,CUST0082,Savings,BR008,2020-09-25,Active,115315.93
ACC0083,CUST0083,Checking,BR005,2020-06-27,Active,94441.47
ACC0084,CUST0084,Checking,BR002,2023-04-11,Active,10700.19
ACC0085,CUST0085,Savings,BR003,2019-04-17,Active,49379.9
ACC0086,CUST0086,Checking,BR010,2016-01-30,Inactive,99331.55
ACC0087,CUST0087,Savings,BR008,2020-03-23,Active,99482.94
ACC0088,CUST0088,Savings,BR005,2021-01-30,Active,129021.01
ACC0089,CUST0089,Savings,BR001,2019-10-29,Inactive,18310.55
ACC0090,CUST0090,Savings,BR007,2019-12-18,Active,5412.54
ACC0091,CUST0091,Savings,BR005,2022-12-02,Active,64886.83
ACC0092,CUST0092,Checking,BR007,2020-06-19,Inactive,85543.86
ACC0093,CUST0093,Savings,BR009,2022-09-08,Active,70737.85
ACC0094,CUST0094,Savings,BR003,2020-09-06,Active,39876.95
ACC0095,CUST0095,Savings,BR007,2021-12-01,Active,115087.38
ACC0096,CUST0096,Checking,BR001,2015-04-26,Active,19665.61
ACC0097,CUST0097,Savings,BR010,2015-04-21,Inactive,93960.37
ACC0098,CUST0098,Savings,BR007,2018-11-14,Closed,62083.48
ACC0099,CUST0099,Checking,BR004,2017-10-11,Active,47158.88
ACC0100,CUST0100,Checking,BR002,2018-06-02,Active,25882.0
ACC0101,CUST0101,Savings,BR001,2020-03-02,Active,63659.72
ACC0102,CUST0102,Savings,BR007,2017-12-28,Active,70720.14
ACC0103,CUST0103,Checking,BR006,2019-03-28,Active,48701.99
ACC0104,CUST0104,Checking,BR008,2016-02-14,Active,31283.29
ACC0105,CUST0105,Savings,BR006,2016-11-13,Active,54818.48
ACC0106,CUST0106,Savings,BR008,2022-02-15,Inactive,118178.87
