LoanID,AccountID,CustomerID,ProductID,BranchID,LoanAmount,InterestRate,TermMonths,MonthlyPayment,OutstandingBalance,StartDate,EndDate,LoanStatus,LoanPurpose
LOAN0001,ACC0001,CUST0001,PROD001,BR010,42000.0,16.98,60,1043.36,7150.53,2022-08-20,2027-07-25,Current,Personal
LOAN0002,ACC0002,CUST0002,PROD010,BR002,115300.0,6.91,24,5157.58,22855.42,2020-11-06,2022-10-27,Default,Investment
LOAN0003,ACC0003,CUST0003,PROD008,BR007,75300.0,17.25,24,3732.05,46306.62,2020-08-23,2022-08-13,Current,Small Business
LOAN0004,ACC0004,CUST0004,PROD002,BR007,301300.0,4.2,240,1857.73,61107.64,2020-03-26,2039-12-12,Current,Home Purchase
LOAN0005,ACC0005,CUST0005,PROD006,BR009,156800.0,8.78,60,3238.19,115209.92,2023-06-29,2028-06-02,Current,Home Improvement
LOAN0006,ACC0006,CUST0006,PROD004,BR007,33500.0,4.89,60,630.5,16315.9,2021-01-01,2025-12-06,Default,Education
LOAN0007,ACC0007,CUST0007,PROD009,BR002,11700.0,18.45,36,425.63,2066.05,2020-07-24,2023-07-09,Current,Debt Consolidation
LOAN0008,ACC0008,CUST0008,PROD007,BR009,1100.0,17.34,12,100.5,731.7,2023-03-26,2024-03-20,Current,Credit Building
LOAN0009,ACC0009,CUST0009,PROD005,BR007,60400.0,17.24,60,1508.9,42010.12,2021-01-31,2026-01-05,Paid Off,Business Expansion
LOAN0010,ACC0010,CUST0010,PROD007,BR002,4100.0,21.29,12,382.34,2904.12,2021-03-15,2022-03-10,Current,Credit Building
LOAN0011,ACC0011,CUST0011,PROD010,BR008,420600.0,13.02,24,20000.04,84478.68,2022-07-18,2024-07-07,Current,Investment
LOAN0012,ACC0012,CUST0012,PROD006,BR009,78800.0,6.97,120,913.72,22080.6,2020-09-23,2030-08-02,Paid Off,Home Improvement
LOAN0013,ACC0013,CUST0013,PROD003,BR001,17000.0,8.63,36,537.67,3478.98,2022-05-15,2025-04-29,Current,Auto Purchase
LOAN0014,ACC0014,CUST0014,PROD009,BR008,17500.0,11.4,60,383.99,8341.33,2020-05-05,2025-04-09,Current,Debt Consolidation
LOAN0015,ACC0015,CUST0015,PROD007,BR010,600.0,16.26,12,54.51,330.83,2021-07-30,2022-07-25,Current,Credit Building
LOAN0016,ACC0016,CUST0016,PROD006,BR005,191500.0,6.31,180,1648.23,55259.5,2020-01-16,2034-10-29,Current,Home Improvement
LOAN0017,ACC0017,CUST0017,PROD004,BR001,14400.0,6.23,120,161.54,8348.6,2022-10-13,2032-08-21,Current,Education
LOAN0018,ACC0018,CUST0018,PROD007,BR005,3300.0,17.67,24,164.22,1129.55,2022-01-31,2024-01-21,Paid Off,Credit Building
LOAN0019,ACC0019,CUST0019,PROD005,BR008,256400.0,9.51,36,8214.45,120266.25,2022-08-03,2025-07-18,Current,Business Expansion
LOAN0020,ACC0020,CUST0020,PROD002,BR009,161300.0,4.44,360,811.54,47643.71,2023-02-08,2052-09-03,Current,Home Purchase
LOAN0021,ACC0021,CUST0021,PROD002,BR008,180900.0,5.4,180,1468.52,33071.07,2022-11-24,2037-09-06,Current,Home Purchase
LOAN0022,ACC0022,CUST0022,PROD002,BR003,396400.0,6.49,180,3450.89,276948.11,2021-12-02,2036-09-14,Current,Home Purchase
LOAN0023,ACC0023,CUST0023,PROD001,BR007,25400.0,10.06,60,540.43,9710.89,2021-04-14,2026-03-19,Default,Personal
LOAN0024,ACC0024,CUST0024,PROD005,BR006,291700.0,18.49,36,10617.49,78633.67,2021-09-06,2024-08-21,Current,Business Expansion
LOAN0025,ACC0025,CUST0025,PROD004,BR001,6300.0,5.64,120,68.81,5232.11,2022-12-24,2032-11-01,Current,Education
LOAN0026,ACC0026,CUST0026,PROD007,BR010,1600.0,14.29,12,143.88,167.43,2023-02-23,2024-02-18,30-Days Late,Credit Building
LOAN0027,ACC0027,CUST0027,PROD004,BR010,35200.0,6.91,120,407.07,28602.85,2021-06-04,2031-04-13,Current,Education
LOAN0028,ACC0028,CUST0028,PROD003,BR002,27700.0,5.92,48,649.52,19239.19,2020-10-10,2024-09-19,Current,Auto Purchase
LOAN0029,ACC0029,CUST0029,PROD005,BR007,139100.0,9.1,36,4429.82,16858.0,2023-04-21,2026-04-05,Current,Business Expansion
LOAN0030,ACC0030,CUST0030,PROD008,BR010,78000.0,14.84,36,2697.79,9102.65,2020-03-17,2023-03-02,30-Days Late,Small Business
LOAN0031,ACC0031,CUST0031,PROD009,BR009,8100.0,17.65,60,204.15,4763.15,2021-07-06,2026-06-10,30-Days Late,Debt Consolidation
LOAN0032,ACC0032,CUST0032,PROD002,BR006,492200.0,3.93,180,3623.5,173738.99,2023-04-22,2038-02-02,Default,Home Purchase
LOAN0033,ACC0033,CUST0033,PROD007,BR010,2900.0,18.88,12,267.09,779.71,2020-05-13,2021-05-08,60-Days Late,Credit Building
LOAN0034,ACC0034,CUST0034,PROD007,BR007,3200.0,21.42,12,298.61,2789.97,2022-04-21,2023-04-16,Current,Credit Building
LOAN0035,ACC0035,CUST0035,PROD008,BR005,143400.0,15.06,36,4975.22,42776.8,2021-05-23,2024-05-07,Current,Small Business
LOAN0036,ACC0036,CUST0036,PROD003,BR004,46800.0,11.79,60,1036.08,27293.44,2023-04-08,2028-03-12,30-Days Late,Auto Purchase
LOAN0037,ACC0037,CUST0037,PROD001,BR002,37000.0,16.98,36,1318.78,30373.42,2022-06-01,2025-05-16,Current,Personal
LOAN0038,ACC0038,CUST0038,PROD004,BR008,8800.0,5.72,180,72.93,1670.57,2020-12-17,2035-09-30,Default,Education
LOAN0039,ACC0039,CUST0039,PROD001,BR005,9300.0,17.18,24,460.62,3849.93,2021-04-26,2023-04-16,30-Days Late,Personal
LOAN0040,ACC0040,CUST0040,PROD009,BR010,27700.0,20.82,60,746.58,23980.1,2022-07-07,2027-06-11,Current,Debt Consolidation
LOAN0041,ACC0041,CUST0041,PROD008,BR001,112300.0,15.72,36,3932.63,14144.79,2022-11-06,2025-10-21,Current,Small Business
LOAN0042,ACC0042,CUST0042,PROD009,BR007,45200.0,12.97,36,1522.31,33635.93,2020-11-25,2023-11-10,Paid Off,Debt Consolidation
LOAN0043,ACC0043,CUST0043,PROD006,BR009,112400.0,8.77,180,1124.71,104154.48,2022-06-20,2037-04-02,Paid Off,Home Improvement
LOAN0044,ACC0044,CUST0044,PROD009,BR003,7800.0,9.79,60,164.92,3556.56,2020-04-05,2025-03-10,30-Days Late,Debt Consolidation
LOAN0045,ACC0045,CUST0045,PROD003,BR004,29000.0,6.05,72,481.3,21747.63,2020-07-06,2026-06-05,Paid Off,Auto Purchase
LOAN0046,ACC0046,CUST0046,PROD009,BR008,35300.0,16.23,36,1245.06,23645.72,2023-05-13,2026-04-27,Current,Debt Consolidation
LOAN0047,ACC0047,CUST0047,PROD008,BR007,91000.0,21.49,36,3451.37,29762.85,2020-04-12,2023-03-28,Current,Small Business
LOAN0048,ACC0048,CUST0048,PROD002,BR005,552400.0,4.07,360,2659.58,221743.6,2020-08-18,2050-03-14,Paid Off,Home Purchase
LOAN0049,ACC0049,CUST0049,PROD004,BR003,41600.0,6.42,180,360.55,23897.51,2023-02-06,2037-11-19,Current,Education
LOAN0050,ACC0050,CUST0050,PROD002,BR008,390500.0,6.46,360,2457.96,136254.19,2021-01-07,2050-08-03,30-Days Late,Home Purchase
LOAN0051,ACC0051,CUST0051,PROD007,BR005,4300.0,17.73,12,393.67,3849.46,2021-06-26,2022-06-21,Current,Credit Building
LOAN0052,ACC0052,CUST0052,PROD009,BR005,11800.0,14.56,36,406.51,4570.32,2023-02-22,2026-02-06,Current,Debt Consolidation
LOAN0053,ACC0053,CUST0053,PROD006,BR010,156800.0,8.44,120,1939.07,88000.35,2021-07-17,2031-05-26,Current,Home Improvement
LOAN0054,ACC0054,CUST0054,PROD010,BR004,169700.0,9.86,60,3593.94,49850.94,2022-10-24,2027-09-28,Current,Investment
LOAN0055,ACC0055,CUST0055,PROD005,BR007,156900.0,18.9,60,4061.44,95968.06,2022-06-30,2027-06-04,Current,Business Expansion
LOAN0056,ACC0056,CUST0056,PROD002,BR002,249900.0,4.46,180,1906.61,215326.53,2023-04-16,2038-01-27,Current,Home Purchase
LOAN0057,ACC0057,CUST0057,PROD010,BR003,499400.0,13.83,60,11576.2,95768.14,2022-04-14,2027-03-19,60-Days Late,Investment
LOAN0058,ACC0058,CUST0058,PROD001,BR006,13400.0,10.09,48,340.44,7676.19,2021-10-19,2025-09-28,Current,Personal
LOAN0059,ACC0059,CUST0059,PROD001,BR003,21200.0,17.44,48,616.56,4726.49,2022-10-11,2026-09-20,Current,Personal
LOAN0060,ACC0060,CUST0060,PROD006,BR001,177100.0,8.03,120,2151.52,136286.11,2020-02-27,2030-01-05,Default,Home Improvement
LOAN0061,ACC0061,CUST0061,PROD008,BR008,135500.0,20.64,24,6938.82,28151.57,2022-11-22,2024-11-11,Current,Small Business
LOAN0062,ACC0062,CUST0062,PROD009,BR001,29600.0,20.4,60,790.82,24756.08,2020-01-06,2024-12-10,Current,Debt Consolidation
LOAN0063,ACC0063,CUST0063,PROD002,BR005,139800.0,4.64,180,1079.49,113765.67,2021-04-08,2036-01-20,Paid Off,Home Purchase
LOAN0064,ACC0064,CUST0064,PROD007,BR005,3000.0,20.1,12,278.05,1309.36,2023-04-06,2024-03-31,Current,Credit Building
LOAN0065,ACC0065,CUST0065,PROD009,BR007,30500.0,17.35,36,1092.73,11871.89,2021-11-01,2024-10-16,Current,Debt Consolidation
LOAN0066,ACC0066,CUST0066,PROD001,BR002,10600.0,8.9,36,336.58,8671.81,2020-04-29,2023-04-14,Paid Off,Personal
LOAN0067,ACC0067,CUST0067,PROD004,BR007,71700.0,4.35,60,1331.82,36087.23,2020-05-24,2025-04-28,60-Days Late,Education
LOAN0068,ACC0068,CUST0068,PROD004,BR010,45300.0,6.75,120,520.15,20750.19,2021-02-28,2031-01-07,Paid Off,Education
LOAN0069,ACC0069,CUST0069,PROD003,BR002,35700.0,7.19,60,710.11,5263.6,2023-05-12,2028-04-15,Current,Auto Purchase
LOAN0070,ACC0070,CUST0070,PROD010,BR010,185500.0,7.64,60,3729.39,58003.08,2023-04-03,2028-03-07,Paid Off,Investment
LOAN0071,ACC0071,CUST0071,PROD007,BR005,4000.0,21.33,24,206.19,2091.51,2022-06-02,2024-05-22,90-Days Late,Credit Building
