TransactionID,AccountID,CustomerID,BranchID,TransactionDate,Amount,TransactionType,Channel,Status,Description
TXN000001,ACC0328,CUST0328,BR002,2022-02-21,18541.35,Deposit,Mobile,Completed,Direct deposit
TXN000002,ACC0045,CUST0045,BR010,2024-05-14,804.25,Deposit,Mobile,Completed,Loan payment
TXN000003,ACC0367,CUST0367,BR009,2024-05-09,5518.81,Transfer,Online,Completed,Transfer to savings
TXN000004,ACC0175,CUST0175,BR005,2022-11-15,5390.69,Payment,Online,Completed,Interest credit
TXN000005,ACC0310,CUST0310,BR005,2022-03-30,18246.0,Transfer,Branch,Completed,Overdraft fee
TXN000006,ACC0454,CUST0454,BR006,2023-01-29,17617.25,Deposit,Mobile,Failed,Loan payment
TXN000007,ACC0444,CUST0444,BR002,2024-02-18,6956.56,Transfer,ATM,Completed,Service fee
TXN000008,ACC0360,CUST0360,BR002,2022-12-17,13358.16,Deposit,Branch,Failed,Direct deposit
TXN000009,ACC0113,CUST0113,BR006,2022-04-25,5733.91,Deposit,ATM,Completed,Overdraft fee
TXN000010,ACC0449,CUST0449,BR006,2023-03-12,16389.41,Withdrawal,Branch,Completed,Direct deposit
TXN000011,ACC0276,CUST0276,BR005,2024-05-27,22446.59,Withdrawal,Mobile,Completed,Wire transfer
TXN000012,ACC0047,CUST0047,BR001,2022-08-13,3829.5,Deposit,Branch,Completed,Overdraft fee
TXN000013,ACC0240,CUST0240,BR009,2023-05-30,24277.25,Fee,Online,Completed,Direct deposit
TXN000014,ACC0385,CUST0385,BR005,2023-11-28,2797.69,Withdrawal,Branch,Completed,Service fee
TXN000015,ACC0498,CUST0498,BR009,2023-01-01,12696.97,Deposit,ATM,Completed,Loan payment
TXN000016,ACC0079,CUST0079,BR006,2022-11-27,13489.08,Payment,Phone,Completed,Wire transfer
TXN000017,ACC0010,CUST0010,BR002,2024-01-14,21969.26,Fee,ATM,Completed,Overdraft fee
TXN000018,ACC0485,CUST0485,BR002,2022-06-25,18300.37,Fee,Phone,Completed,Wire transfer
TXN000019,ACC0485,CUST0485,BR009,2022-12-05,6633.77,Fee,Branch,Failed,Loan payment
TXN000020,ACC0366,CUST0366,BR005,2024-03-28,24878.78,Transfer,Branch,Completed,Loan payment
TXN000021,ACC0116,CUST0116,BR002,2023-11-24,535.65,Transfer,Phone,Completed,Monthly deposit
TXN000022,ACC0118,CUST0118,BR002,2022-03-06,21492.29,Deposit,Mobile,Completed,Direct deposit
TXN000023,ACC0068,CUST0068,BR010,2024-08-26,6082.5,Transfer,Branch,Completed,Transfer to savings
TXN000024,ACC0182,CUST0182,BR007,2024-04-21,11680.95,Payment,Online,Completed,ATM withdrawal
TXN000025,ACC0128,CUST0128,BR004,2023-01-25,13411.78,Deposit,Mobile,Completed,ATM withdrawal
TXN000026,ACC0227,CUST0227,BR009,2022-07-20,1274.2,Refund,Online,Failed,Loan payment
TXN000027,ACC0086,CUST0086,BR007,2024-09-21,12039.15,Fee,Online,Completed,Transfer to savings
TXN000028,ACC0136,CUST0136,BR008,2023-08-08,10580.96,Refund,Phone,Completed,Loan payment
TXN000029,ACC0152,CUST0152,BR004,2022-04-30,14483.72,Transfer,ATM,Completed,Direct deposit
TXN000030,ACC0471,CUST0471,BR009,2022-11-19,1431.42,Transfer,Mobile,Completed,Loan payment
TXN000031,ACC0207,CUST0207,BR002,2023-05-20,14477.19,Deposit,Online,Completed,Direct deposit
TXN000032,ACC0162,CUST0162,BR005,2023-02-23,16746.45,Withdrawal,ATM,Completed,Service fee
TXN000033,ACC0235,CUST0235,BR006,2022-05-29,242.79,Transfer,Phone,Completed,Loan payment
TXN000034,ACC0260,CUST0260,BR005,2022-09-29,23332.15,Interest,Mobile,Completed,Direct deposit
TXN000035,ACC0361,CUST0361,BR005,2024-12-19,205.5,Fee,ATM,Completed,Bill payment
TXN000036,ACC0136,CUST0136,BR002,2022-08-08,18562.99,Deposit,ATM,Completed,Loan payment
TXN000037,ACC0352,CUST0352,BR005,2024-11-01,12218.41,Interest,Online,Completed,Service fee
TXN000038,ACC0023,CUST0023,BR001,2023-11-15,19280.27,Transfer,ATM,Completed,Transfer to savings
TXN000039,ACC0288,CUST0288,BR001,2022-08-18,1890.34,Interest,Mobile,Pending,Overdraft fee
