TransactionID,AccountID,CustomerID,BranchID,TransactionDate,Amount,TransactionType,Channel,Status,BatchNumber
TXN_NEW_00001,ACC0207,CUST0207,BR007,2025-01-04,14989.98,Deposit,Mobile,Completed,1
TXN_NEW_00002,ACC0129,CUST0129,BR007,2025-01-09,17110.87,Transfer,Phone,Completed,1
TXN_NEW_00003,ACC0216,CUST0216,BR010,2025-01-10,5425.14,Interest,ATM,Pending,1
TXN_NEW_00004,ACC0442,CUST0442,BR004,2025-01-03,11542.47,Deposit,Phone,Completed,1
TXN_NEW_00005,ACC0485,CUST0485,BR009,2025-01-02,11731.29,Withdrawal,ATM,Completed,1
TXN_NEW_00006,ACC0218,CUST0218,BR004,2025-01-06,24739.35,Transfer,Branch,Completed,1
TXN_NEW_00007,ACC0102,CUST0102,BR010,2025-01-08,24418.03,Withdrawal,Mobile,Failed,1
TXN_NEW_00008,ACC0367,CUST0367,BR003,2025-01-08,14889.48,Interest,Phone,Completed,1
TXN_NEW_00009,ACC0019,CUST0019,BR002,2025-01-01,4287.97,Payment,Branch,Completed,1
TXN_NEW_00010,ACC0218,CUST0218,BR002,2025-01-03,7752.08,Deposit,ATM,Completed,1
TXN_NEW_00011,ACC0208,CUST0208,BR004,2025-01-01,16014.44,Withdrawal,Phone,Completed,1
TXN_NEW_00012,ACC0392,CUST0392,BR003,2025-01-06,23534.4,Transfer,Online,Completed,1
TXN_NEW_00013,ACC0443,CUST0443,BR010,2025-01-03,15204.78,Withdrawal,Online,Completed,1
TXN_NEW_00014,ACC0152,CUST0152,BR003,2025-01-03,10252.77,Interest,Phone,Completed,1
TXN_NEW_00015,ACC0256,CUST0256,BR004,2025-01-05,2939.16,Fee,Mobile,Completed,1
TXN_NEW_00016,ACC0257,CUST0257,BR005,2025-01-01,14646.46,Deposit,Mobile,Completed,1
TXN_NEW_00017,ACC0173,CUST0173,BR007,2025-01-07,10357.49,Withdrawal,Online,Completed,1
TXN_NEW_00018,ACC0020,CUST0020,BR006,2025-01-07,19272.83,Deposit,Mobile,Completed,1
