TransactionID,AccountID,CustomerID,Amount,TransactionType,Channel,Status,TransactionDate,Branch,Region
TXN0001,ACC1001,C001,2500.00,Deposit,ATM,Completed,2024-01-15,Downtown,Northeast
TXN0002,ACC1002,C002,150.00,Withdrawal,Mobile,Completed,2024-01-15,Midtown,Northeast
TXN0003,ACC1003,C003,75000.00,Wire Transfer,Online,Completed,2024-01-16,Westside,West
TXN0004,ACC1004,C004,320.50,Purchase,POS,Completed,2024-01-16,Southgate,South
TXN0005,ACC1005,C005,12000.00,Deposit,Branch,Completed,2024-01-17,Downtown,Northeast
TXN0006,ACC1001,C001,450.00,Withdrawal,ATM,Completed,2024-01-17,Midtown,Northeast
TXN0007,ACC1006,C006,88000.00,Wire Transfer,Online,Flagged,2024-01-18,Westside,West
TXN0008,ACC1007,C007,200.00,Purchase,Mobile,Completed,2024-01-18,Eastside,East
TXN0009,ACC1008,C008,5000.00,Deposit,Branch,Completed,2024-01-19,Downtown,Northeast
TXN0010,ACC1009,C009,1200.00,Withdrawal,ATM,Completed,2024-01-19,Southgate,South
TXN0011,ACC1010,C010,35000.00,Wire Transfer,Online,Completed,2024-01-20,Midtown,Northeast
TXN0012,ACC1002,C002,800.00,Purchase,POS,Completed,2024-01-20,Westside,West
TXN0013,ACC1003,C003,4200.00,Deposit,Mobile,Completed,2024-01-21,Eastside,East
TXN0014,ACC1011,C011,95000.00,Wire Transfer,Online,Flagged,2024-01-21,Downtown,Northeast
TXN0015,ACC1012,C012,600.00,Withdrawal,ATM,Completed,2024-01-22,Southgate,South
TXN0016,ACC1013,C013,3100.00,Deposit,Branch,Completed,2024-01-22,Midtown,Northeast
TXN0017,ACC1014,C014,25.00,Purchase,Mobile,Completed,2024-01-23,Westside,West
TXN0018,ACC1015,C015,18000.00,Deposit,Online,Completed,2024-01-23,Eastside,East
TXN0019,ACC1016,C016,750.00,Withdrawal,ATM,Completed,2024-01-24,Downtown,Northeast
TXN0020,ACC1004,C004,9500.00,Wire Transfer,Online,Completed,2024-01-24,Southgate,South
